platnost ve dni;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout
pondělí;0:00;5:00;18:00;20:00;23:00;00:00
úterý;0:00;5:00;18:00;20:00;23:00;00:00
středa;0:00;5:00;18:00;20:00;23:00;00:00
čtvrtek;0:00;5:00;18:00;20:00;23:00;00:00
pátek;0:00;5:00;18:00;20:00;23:00;00:00
sobota;0:00;5:00;18:00;20:00;23:00;00:00
neděle;0:00;5:00;18:00;20:00;23:00;00:00
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
T1;0.0925
T2;0.0048
baterie;26.6886
bat%;0,9;;;;;;;;;;;;;
priplatek;10.2648
srazka;12.3178
;;;;;;;;;;;;;;
EUR;24,355
;;;;;;;;;;;;;;
plyn;45;;;;;;;;;;;;;
fix;2.39;;;;;;;;;;;;;
T1CZK;2.25245;;;;;;;;;;;;;
T2CZK;0.1165;;;;;;;;;;;;;
baterie;650;;;;;;;;;;;;;
priplatekCZK;250;;;;;;;;;;;;;
srazkaCZK;300;;;;;;;;;;;;;












