platnost ve dni;zapnout;vypnout;zapnout;vypnout;zapnout;vypnout
pondělí;0:00;5:00;18:00;20:00;23:00;00:00
úterý;0:00;5:00;18:00;20:00;23:00;00:00
středa;0:00;5:00;18:00;20:00;23:00;00:00
čtvrtek;0:00;5:00;18:00;20:00;23:00;00:00
pátek;0:00;5:00;18:00;20:00;23:00;00:00
sobota;0:00;5:00;18:00;20:00;23:00;00:00
neděle;0:00;5:00;18:00;20:00;23:00;00:00
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
T1;0.0932
T2;0.0048
baterie;26.9040
bat%;0,9;;;;;;;;;;;;;
priplatek;10.3477
srazka;12.4172
;;;;;;;;;;;;;;
EUR;24,160
;;;;;;;;;;;;;;
plyn;45;;;;;;;;;;;;;
fix;2.39;;;;;;;;;;;;;
T1CZK;2.25245;;;;;;;;;;;;;
T2CZK;0.1165;;;;;;;;;;;;;
baterie;650;;;;;;;;;;;;;
priplatekCZK;250;;;;;;;;;;;;;
srazkaCZK;300;;;;;;;;;;;;;












